nomor,nama,keahlian 1,keahlian 2,lokasi
"113,Forestisme Bandung,Lingkungan,Kepemimpinan & Organisasi,""Kota Bandung, Jawa Barat"""
"114,Jagak Himbak,Lingkungan,Pengembangan Anak Muda,""Kota Pontianak, Kalimantan Barat"""
"115,Jejak Si Hutan,Lingkungan,Pengembangan Anak Muda,""Kota Depok, Jawa Barat"""
"116,PlastikDetox,Lingkungan,Pengembangan Masyarakat,""Kota Denpasar, Bali"""
"117,BAHAGIAKAN KAMU INDONESIA,Pengembangan Anak Muda,Kesehatan,""Kota Denpasar, Bali"""
"118,Tips Mahasiswa,Pendidikan,Pengembangan Anak Muda,""Kota Malang, Jawa Timur"""
"119,Gerakan Peduli Panti,Pendidikan,Pengembangan Masyarakat,""Kota Bekasi, Jawa Barat"""
"120,Komunitas Sekolah Marjinal,Pendidikan,Hak Asasi Manusia,""Kabupaten Sleman, Yogyakarta"""
"121,Akademi Relawan,Pengembangan Anak Muda,Kepemimpinan & Organisasi,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"122,Sosial Kemasyarakatan BEM Kema Fapet UNPAD,Penanggulangan Bencana,Pengembangan Masyarakat,""Kota Bogor, Jawa Barat"""
"123,Barberhub Indonesia,Sains dan Teknologi,Sains dan Teknologi,""Kota Yogyakarta, Yogyakarta"""
"124,Sultan Akademi,Pengembangan Masyarakat,Ketenagakerjaan,""Kota Bogor, Jawa Barat"""
"125,ESG Intelligence,Pusat Informasi dan Kajian,Pendidikan,""Kota Surabaya, Jawa Timur"""
"126,Kampung Literasi - TBM Harapan,Pengembangan Masyarakat,Pendidikan,""Kota Yogyakarta, Yogyakarta"""
"127,Nadi Surya,Kesehatan,Pendidikan,""Kota Administrasi Jakarta Utara, DKI Jakarta"""
"128,PKPU Human Initiative Malang,Penanggulangan Bencana,Lingkungan,""Kota Malang, Jawa Timur"""
"129,LEO Indonesia,Lingkungan,Pengembangan Masyarakat,""Kota Medan, Sumatera Utara"""
"130,LenteraTimes,Pusat Informasi dan Kajian,Pengembangan Anak Muda,""Kabupaten Mojokerto, Jawa Timur"""
"131,PermataYouthPreneur,Pendidikan,Sains dan Teknologi,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"132,Ecological Observation and Wetlands Conservation,Lingkungan,Pengembangan Masyarakat,""Kabupaten Gresik, Jawa Timur"""
"133,Omah Sinau Gesang,Kepemimpinan & Organisasi,Kesetaraan Gender,""Kabupaten Lumajang, Jawa Timur"""
"134,Youth In Sustainability Jakarta,Lingkungan,Kepemimpinan & Organisasi,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"135,Scoolnesia,Pendidikan,Pendidikan,""Kota Tangerang, Banten"""
"136,KOAKSI INDONESIA,Lingkungan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"137,Yayasan Peduli Pemalang Bersatu,Kepemimpinan & Organisasi,Kepemimpinan & Organisasi,""Kabupaten Pemalang, Jawa Tengah"""
"138,Cegah Stunting Itu Penting,Kesehatan,Pengembangan Masyarakat,""Kabupaten Malang, Jawa Timur"""
"139,Peduli Indonesia,Kesehatan,Lingkungan,""Kabupaten Tangerang, Banten"""
"140,Masjid Multi Manfaat,Pendidikan,Pengembangan Masyarakat,""Kabupaten Klaten, Jawa Tengah"""
"141,BecomeMore Indonesia,Pengembangan Anak Muda,Pendidikan,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"142,Yayasan KNCV Indonesia,Kesehatan,Kesehatan,""Kota Administrasi Jakarta Utara, DKI Jakarta"""
"143,Peduli Sungai Surabaya,Lingkungan,Pengembangan Masyarakat,""Kota Surabaya, Jawa Timur"""
"144,Gen Smart Indonesia,Pengembangan Anak Muda,Pendidikan,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"145,Teenage Charm,Seni dan Budaya,Pengembangan Anak Muda,""Kabupaten Bogor, Jawa Barat"""
"146,Lulussidang,Pengembangan Anak Muda,Pengembangan Masyarakat,""Kota Semarang, Jawa Tengah"""
"147,Yayasan Rangkul Keluarga Kita Berdaya,Pendidikan,Pengembangan Masyarakat,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"148,Conscious Planet,Penanggulangan Bencana,Pengembangan Masyarakat,""Kabupaten Bogor, Jawa Barat"""
"149,Isha Foundation,Pengembangan Masyarakat,Penanggulangan Bencana,""Kota Denpasar, Bali"""
"150,Yayasan Good People,Pengembangan Anak Muda,Pengembangan Masyarakat,""Kabupaten Bantul, Yogyakarta"""
"151,Berbagi Beras Indonesia,Pengembangan Masyarakat,Pendidikan,""Kota Bekasi, Jawa Barat"""
"152,""""""Lentera Swadaya Dhuafa"""""",Pendidikan,Pengembangan Anak Muda,""Kota Depok, Jawa Barat"""
"153,Asha Puan,Kesetaraan Gender,Hak Asasi Manusia,""Kota Depok, Jawa Barat"""
"154,Kampung Berliterasi,Pengembangan Anak Muda,Pendidikan,""Kabupaten Flores Timur, Nusa Tenggara Timur"""
"155,ruangpeduli,Pendidikan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"156,rumah welasasih,Penanggulangan Bencana,Lingkungan,""Kabupaten Sleman, Yogyakarta"""
"157,Asha Scholar,Pendidikan,Kesehatan,""Kota Surabaya, Jawa Timur"""
"158,Tangan Kanan,Kesehatan,Perdamaian dan Toleransi,""Kota Semarang, Jawa Tengah"""
"159,Bersama Lansia,Kesehatan,Sains dan Teknologi,""Kota Bandung, Jawa Barat"""
"160,Pokdarwis Kampoeng Wisata Sawah Zwageri Borneo,Kepemimpinan & Organisasi,Ketenagakerjaan,""Kabupaten Kutai Kartanegara, Kalimantan Timur"""
"161,Himpunan Mahasiswa Islam Koordinator Komisariat Universitas Mulawarman,Hak Asasi Manusia,Kepemimpinan & Organisasi,""Kota Samarinda, Kalimantan Timur"""
"162,Yayasan Karunia Flores,Kesehatan,Difabilitas/Disabilitas,""Kabupaten Manggarai Timur, Nusa Tenggara Timur"""
"163,Global University of Science and Technology (GUST),Pendidikan,Hak Asasi Manusia,""Kabupaten Kutai Kartanegara, Kalimantan Timur"""
"164,Indonesian Z Generation,Pengembangan Anak Muda,Sains dan Teknologi,""Kabupaten Lampung Timur, Lampung"""
"165,kecewaku media,Sains dan Teknologi,Sains dan Teknologi,""Kabupaten Jember, Jawa Timur"""
"166,Matriks Desain Manusia,Pengembangan Masyarakat,Pengembangan Anak Muda,""Kota Administrasi Jakarta Utara, DKI Jakarta"""
"167,Best Eco Future,Lingkungan,Pengembangan Masyarakat,""Kota Bandar Lampung, Lampung"""
"168,ponpes dan rumah yatim attamim,Kepemimpinan & Organisasi,Ketenagakerjaan,""Kabupaten Bandung, Jawa Barat"""
"169,CCTV RAKYAT LAMPUNG,Difabilitas/Disabilitas,Kesehatan,""Kabupaten Lampung Tengah, Lampung"""
"170,Ketahanan pangan society movement,Pengembangan Anak Muda,Sains dan Teknologi,""Kabupaten Malang, Jawa Timur"""
"171,BEM UI,Pengembangan Masyarakat,Kepemimpinan & Organisasi,""Kota Depok, Jawa Barat"""
